mem.bash 1443\n
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
1415.8, 820.0, , , , , ,
1379.1, 820.0, , , , , ,
1343.5, 820.0, , , , , ,
1305.4, 820.0, , , , , ,
1268.8, 820.0, , , , , ,
1233.1, 820.0, , , , , ,
1196.7, 820.0, , , , , ,
1160.8, 820.0, , , , , ,
1124.3, 820.0, , , , , ,
1088.8, 820.0, , , , , ,
1053.5, 820.0, , , , , ,
1016.9, 820.0, , , , , ,
979.9, 820.0, , , , , ,
946.0, 820.0, , , , , ,
910.2, 820.0, , , , , ,
875.3, 820.0, , , , , ,
839.0, 820.0, , , , , ,
801.9, 820.0, , , , , ,
765.4, 820.0, , , , , ,
729.3, 820.0, , , , , ,
693.3, 820.0, , , , , ,
659.4, 820.0, , , , , ,
624.8, 820.0, , , , , ,
590.0, 820.0, , , , , ,
555.2, 820.0, , , , , ,
519.0, 820.0, , , , , ,
483.2, 820.0, , , , , ,
448.0, 820.0, , , , , ,
411.0, 820.0, , , , , ,
374.3, 820.0, , , , , ,
338.0, 820.0, , , , , ,
301.1, 820.0, , , , , ,
265.2, 820.0, , , , , ,
227.5, 820.0, , , , , ,
192.6, 820.0, , , , , ,
155.9, 820.0, , , , , ,
119.7, 820.0, , , , , ,
82.9, 820.0, , , , , ,
64.5, 817.2, , , , , ,
67.3, 813.5, , , , , ,
77.5, 811.2, , , , , ,
73.5, 650.5, , , , , ,
68.5, 268.3, , , , , ,
68.8, 234.2, , , , , ,
71.5, 196.5, , , , , ,
76.1, 165.2, , , , , ,
66.2, 125.0, , , , , ,
74.1, 76.5, , , , , ,
73.3, 50.2, , , , , ,
71.4, 7.6, , , , , ,
1687.4, 736.4, , , , , ,
1680.4, 736.4, , , , , ,
1680.4, 736.4, , , , , ,
1680.4, 736.4, , , , , ,
1679.4, 736.4, , , , , ,
1679.4, 736.4, , , , , ,
1679.4, 736.4, , , , , ,
