mem.bash 1467
Memfree, Swapfree, VIRTRESSHRCPUMEM, TIME
1410.2, 820.0, 233840 14568 2948 99.9 0.8, 0:00.24
1373.9, 820.0, 270932 51528 2948 99.9 2.8, 0:01.01
1337.4, 820.0, 308156 88752 2948 93.8 4.7, 0:01.77
1301.0, 820.0, 345908 126504 2948 99.9 6.8, 0:02.55
1263.5, 820.0, 383264 163728 2948 99.9 8.8, 0:03.32
1227.4, 820.0, 421280 201744 2948 99.9 10.8, 0:04.11
1189.5, 820.0, 459428 240024 2948 93.8 12.8, 0:04.89
1153.8, 820.0, 495992 276456 2948 93.8 14.8, 0:05.65
1116.3, 820.0, 534668 315264 2948 99.9 16.9, 0:06.46
1079.2, 820.0, 572024 352488 2948 99.9 18.8, 0:07.23
1042.3, 820.0, 609908 390504 2948 99.9 20.9, 0:08.01
1005.0, 820.0, 647792 428256 2948 99.9 22.9, 0:08.79
968.1, 820.0, 685676 466272 2948 99.9 24.9, 0:09.57
930.1, 820.0, 724352 504816 2948 99.9 27.0, 0:10.36
894.0, 820.0, 761180 541776 2948 99.9 29.0, 0:11.13
857.1, 820.0, 799064 579792 2948 93.3 31.0, 0:11.90
820.1, 820.0, 836816 617280 2948 93.8 33.0, 0:12.68
783.7, 820.0, 874172 654768 2948 99.9 35.0, 0:13.46
747.1, 820.0, 911792 692256 2948 99.9 37.0, 0:14.24
710.5, 820.0, 949412 730008 2948 99.9 39.0, 0:15.01
673.4, 820.0, 986900 767496 2948 99.9 41.0, 0:15.80
636.6, 820.0, 1024652 805248 2948 99.9 43.0, 0:16.57
600.5, 820.0, 1061480 841944 2948 99.9 45.0, 0:17.33
562.6, 820.0, 1100288 880752 2948 99.9 47.1, 0:18.13
525.4, 820.0, 1137908 918504 2948 99.9 49.1, 0:18.91
487.7, 820.0, 1176584 957048 2948 99.9 51.2, 0:19.69
450.4, 820.0, 1214864 995592 2948 99.9 53.2, 0:20.49
413.0, 820.0, 1253276 1.0g 2948 99.9 55.3, 0:21.28
376.9, 820.0, 1289840 1.0g 2948 93.8 57.2, 0:22.03
339.7, 820.0, 1327724 1.1g 2948 93.8 59.2, 0:22.81
303.0, 820.0, 1365476 1.1g 2948 99.9 61.3, 0:23.59
266.3, 820.0, 1403228 1.1g 2948 99.9 63.3, 0:24.37
229.0, 820.0, 1440584 1.2g 2948 93.8 65.3, 0:25.15
191.2, 820.0, 1479128 1.2g 2948 99.9 67.3, 0:25.94
154.7, 820.0, 1516880 1.2g 2948 94.1 69.4, 0:26.72
118.1, 820.0, 1554104 1.3g 2948 99.9 71.3, 0:27.50
81.9, 820.0, 1591724 1.3g 2948 93.8 73.4, 0:28.28
67.9, 818.2, 1628288 1.3g 2580 88.2 75.3, 0:29.05
70.2, 814.2, 1685312 1.4g 2580 93.8 78.3, 0:30.21
80.8, 810.7, 1726232 1.4g 2580 99.9 80.5, 0:31.03
70.3, 800.0, 1770452 1.5g 2576 99.9 82.9, 0:31.93
73.0, 354.0, 2067056 1.6g 808 90.9 88.7, 0:38.06
72.0, 192.5, 2400224 1.6g 808 84.6 88.5, 0:44.94
72.9, 152.0, 2448272 1.6g 808 93.8 88.5, 0:45.92
73.4, 120.2, 2485364 1.6g 808 87.5 88.7, 0:46.67
77.9, 88.0, 2522192 1.6g 808 99.9 88.8, 0:47.42
72.3, 50.5, 2560208 1.6g 808 89.5 88.5, 0:48.18
76.5, 9.6, 2599148 1.6g 808 87.5 88.7, 0:48.97
1679.5, 730.4, ,
1679.3, 730.4, ,
1679.2, 730.4, ,
1679.3, 730.4, ,
1678.3, 730.4, ,
