mem.bash 13022
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
1567.2, 731.3, 230276, 10844, 2924, 88.2, 0.6, 0:00.16
1524.0, 731.3, 273968, 54404, 2924, 94.1, 2.9, 0:01.02
1480.6, 731.3, 318056, 98756, 2924, 93.8, 5.3, 0:01.88
1438.6, 731.3, 362012, 142580, 2924, 99.9, 7.6, 0:02.75
1396.6, 731.3, 404780, 185348, 2924, 93.8, 9.9, 0:03.59
1353.6, 731.3, 447944, 228380, 2924, 99.9, 12.2, 0:04.44
1312.6, 731.3, 491504, 271940, 2924, 99.9, 14.5, 0:05.29
1269.6, 731.3, 534272, 314972, 2924, 99.9, 16.8, 0:06.16
1227.1, 731.3, 578228, 358796, 2924, 93.8, 19.2, 0:07.01
1183.9, 731.3, 621656, 402092, 2924, 94.1, 21.5, 0:07.87
1141.9, 731.3, 665084, 445652, 2924, 99.9, 23.8, 0:08.72
1099.2, 731.3, 708380, 488948, 2924, 93.8, 26.1, 0:09.58
1055.1, 731.3, 753260, 533828, 2924, 94.7, 28.5, 0:10.46
1012.9, 731.3, 797084, 577652, 2924, 99.9, 30.9, 0:11.33
970.2, 731.3, 839852, 620420, 2924, 99.9, 33.2, 0:12.17
928.1, 731.3, 883016, 663452, 2924, 99.9, 35.5, 0:13.01
886.1, 731.3, 926444, 707012, 2924, 94.1, 37.8, 0:13.87
843.2, 731.3, 969344, 750044, 2924, 99.9, 40.1, 0:14.71
799.9, 731.3, 1013696, 794132, 2924, 93.8, 42.4, 0:15.57
757.6, 731.3, 1057652, 838220, 2924, 93.8, 44.8, 0:16.44
714.4, 731.3, 1101476, 882044, 2924, 93.8, 47.1, 0:17.31
672.4, 731.3, 1145300, 925868, 2924, 94.1, 49.5, 0:18.17
629.8, 731.3, 1187540, 968108, 2924, 99.9, 51.7, 0:19.01
587.5, 731.3, 1231100, 988.0m, 2924, 93.3, 54.1, 0:19.86
544.6, 731.3, 1275056, 1.0g, 2924, 99.9, 56.4, 0:20.73
503.1, 731.3, 1317956, 1.0g, 2924, 93.8, 58.7, 0:21.57
459.9, 731.3, 1361516, 1.1g, 2924, 99.9, 61.0, 0:22.43
417.2, 731.3, 1405736, 1.1g, 2924, 94.1, 63.4, 0:23.29
373.6, 731.3, 1450088, 1.2g, 2924, 99.9, 65.8, 0:24.17
330.7, 731.3, 1493912, 1.2g, 2924, 99.9, 68.1, 0:25.03
288.0, 731.3, 1537604, 1.3g, 2924, 93.3, 70.5, 0:25.88
246.3, 731.3, 1580108, 1.3g, 2924, 99.9, 72.7, 0:26.73
203.4, 731.3, 1623668, 1.3g, 2924, 93.8, 75.1, 0:27.58
160.7, 731.3, 1667492, 1.4g, 2924, 99.9, 77.4, 0:28.44
118.2, 731.3, 1710920, 1.4g, 2924, 93.8, 79.7, 0:29.30
75.2, 731.3, 1754612, 1.5g, 2924, 99.9, 82.1, 0:30.15
72.3, 730.3, 1809656, 1.5g, 2924, 99.9, 85.0, 0:31.26
74.1, 624.4, 1857704, 1.6g, 2920, 99.9, 87.6, 0:32.22
71.0, 403.4, 2162492, 1.6g, 792, 86.4, 88.3, 0:38.44
72.2, 363.4, 2221892, 1.6g, 792, 93.3, 88.0, 0:39.64
70.4, 324.8, 2262812, 1.6g, 792, 93.8, 88.5, 0:40.45
74.5, 280.4, 2312972, 1.6g, 792, 99.9, 88.4, 0:41.46
71.6, 235.2, 2355740, 1.6g, 792, 99.9, 88.5, 0:42.31
72.0, 203.9, 2397716, 1.6g, 792, 93.8, 88.5, 0:43.14
70.1, 148.9, 2442596, 1.6g, 792, 99.9, 88.4, 0:44.03
74.0, 81.5, 2495132, 1.6g, 792, 99.9, 88.5, 0:45.07
75.2, 46.9, 2552024, 1.6g, 792, 99.9, 88.4, 0:46.22
65.4, 5.8, 2592152, 1.6g, 792, 86.7, 88.0, 0:47.03
1673.6, 725.8, , , , , ,
1671.9, 725.8, , , , , ,
1671.9, 725.8, , , , , ,
