mem.bash 2858
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
1610.2, 739.6, 228164, 8588, 2764, 50.0, 0.5, 0:00.11
1566.9, 739.7, 250076, 30500, 2764, 52.9, 1.6, 0:00.55
1525.3, 739.7, 271328, 51620, 2764, 50.0, 2.8, 0:00.97
1479.7, 739.7, 294428, 74852, 2764, 60.0, 4.0, 0:01.43
1436.6, 739.7, 316208, 96764, 2764, 46.7, 5.2, 0:01.85
1390.4, 739.7, 339440, 119732, 2764, 46.7, 6.4, 0:02.30
1345.6, 739.7, 362408, 142964, 2764, 53.3, 7.6, 0:02.75
1300.8, 739.7, 384980, 165404, 2764, 47.1, 8.8, 0:03.19
1256.9, 739.7, 408740, 189164, 2764, 52.9, 10.1, 0:03.65
1211.4, 739.7, 431180, 211604, 2764, 41.2, 11.3, 0:04.08
1168.1, 739.7, 453092, 233516, 2764, 41.2, 12.5, 0:04.51
1124.0, 739.7, 475532, 255956, 2764, 46.7, 13.7, 0:04.96
1080.6, 739.7, 498764, 279188, 2764, 58.8, 14.9, 0:05.41
1036.3, 739.7, 520676, 301100, 2764, 47.1, 16.1, 0:05.83
993.6, 739.7, 542456, 323012, 2764, 46.7, 17.3, 0:06.27
948.6, 739.7, 565028, 345452, 2764, 53.3, 18.5, 0:06.71
904.0, 739.7, 588524, 368948, 2764, 58.8, 19.7, 0:07.16
860.5, 739.7, 610832, 391124, 2764, 53.3, 20.9, 0:07.60
816.7, 739.7, 632612, 413036, 2764, 50.0, 22.1, 0:08.03
771.4, 739.7, 655976, 436532, 2764, 58.8, 23.3, 0:08.49
728.4, 739.7, 677756, 458180, 2764, 44.4, 24.5, 0:08.91
683.2, 739.7, 701252, 481676, 2764, 58.8, 25.7, 0:09.37
639.6, 739.7, 722900, 503324, 2764, 50.0, 26.9, 0:09.79
597.2, 739.7, 744680, 524972, 2764, 50.0, 28.1, 0:10.21
553.5, 739.7, 767252, 547676, 2764, 46.7, 29.3, 0:10.65
507.8, 739.7, 790616, 570908, 2764, 50.0, 30.5, 0:11.10
464.6, 739.7, 812528, 593084, 2764, 46.7, 31.7, 0:11.53
419.6, 739.7, 835496, 615788, 2764, 60.0, 32.9, 0:11.98
376.6, 739.7, 857936, 638228, 2764, 41.2, 34.1, 0:12.41
332.4, 739.7, 880376, 660932, 2764, 60.0, 35.3, 0:12.85
288.4, 739.7, 902816, 683108, 2764, 47.1, 36.5, 0:13.29
244.2, 739.7, 925520, 705812, 2764, 53.3, 37.7, 0:13.73
200.4, 739.7, 948620, 729044, 2764, 56.2, 39.0, 0:14.18
156.3, 739.7, 970400, 750692, 2764, 53.3, 40.1, 0:14.60
112.4, 739.7, 992708, 773132, 2764, 43.8, 41.3, 0:15.03
68.0, 739.7, 1015544, 795836, 2764, 46.7, 42.5, 0:15.47
72.4, 530.9, 1095800, 835680, 436, 44.1, 44.7, 0:17.09
77.1, 476.4, 1165232, 821052, 972, 38.9, 43.9, 0:18.49
64.3, 429.2, 1186352, 820392, 972, 52.9, 43.9, 0:18.91
75.0, 389.4, 1207472, 819996, 972, 41.2, 43.8, 0:19.32
68.4, 334.4, 1229912, 819004, 972, 37.5, 43.8, 0:19.76
