mem.bash2 2859\n
Mem_free, Swap_free, VIRT, RES, SHR, CPU, MEM, TIME
1611.8, 739.6, 227108, 7672, 2912, 50.0, 0.4, 0:00.09
1567.6, 739.7, 249152, 29584, 2912, 44.4, 1.6, 0:00.52
1524.7, 739.7, 270800, 51496, 2912, 43.8, 2.8, 0:00.96
1480.4, 739.7, 293108, 73672, 2912, 37.5, 3.9, 0:01.40
1435.9, 739.7, 316076, 96640, 2912, 53.3, 5.2, 0:01.84
1391.1, 739.7, 339044, 119608, 2912, 46.7, 6.4, 0:02.29
1346.3, 739.7, 361880, 142312, 2912, 40.0, 7.6, 0:02.73
1301.5, 739.7, 385112, 165544, 2912, 47.4, 8.8, 0:03.19
1256.4, 739.7, 408212, 188776, 2912, 47.1, 10.1, 0:03.64
1212.6, 739.7, 431444, 212008, 2912, 47.1, 11.3, 0:04.09
1168.8, 739.7, 452696, 233128, 2912, 50.0, 12.5, 0:04.50
1124.7, 739.7, 475268, 255832, 2912, 60.0, 13.7, 0:04.95
1081.3, 739.7, 498104, 278536, 2912, 46.7, 14.9, 0:05.39
1037.0, 739.7, 520016, 300712, 2912, 56.2, 16.1, 0:05.82
992.9, 739.7, 543248, 323680, 2912, 50.0, 17.3, 0:06.27
949.2, 739.7, 565028, 345592, 2912, 43.8, 18.5, 0:06.69
904.5, 739.7, 587864, 368296, 2912, 43.8, 19.7, 0:07.13
859.9, 739.7, 610436, 391000, 2912, 47.1, 20.9, 0:07.58
816.1, 739.7, 632876, 413440, 2912, 50.0, 22.1, 0:08.02
772.1, 739.7, 655712, 436144, 2912, 41.2, 23.3, 0:08.46
727.7, 739.7, 678548, 459112, 2912, 56.2, 24.5, 0:08.91
683.8, 739.7, 701516, 482080, 2912, 44.4, 25.8, 0:09.35
640.2, 739.7, 723032, 503464, 2912, 53.3, 26.9, 0:09.78
597.8, 739.7, 744944, 525376, 2912, 50.0, 28.1, 0:10.21
554.4, 739.7, 767912, 548344, 2912, 52.9, 29.3, 0:10.65
508.4, 739.7, 790220, 570784, 2912, 50.0, 30.5, 0:11.08
464.1, 739.7, 812924, 593488, 2912, 53.3, 31.7, 0:11.52
420.3, 739.7, 834968, 615400, 2912, 53.3, 32.9, 0:11.96
375.9, 739.7, 858200, 638896, 2912, 56.2, 34.2, 0:12.41
333.5, 739.7, 880640, 661072, 2912, 46.7, 35.3, 0:12.84
289.0, 739.7, 902684, 683248, 2912, 46.7, 36.5, 0:13.28
244.8, 739.7, 925124, 705688, 2912, 53.3, 37.7, 0:13.72
199.8, 739.7, 947432, 727864, 2912, 43.8, 38.9, 0:14.16
157.1, 739.7, 970400, 750832, 2912, 47.1, 40.1, 0:14.61
113.0, 739.7, 992048, 772480, 2912, 53.3, 41.3, 0:15.02
67.3, 739.7, 1015808, 796240, 2912, 46.7, 42.6, 0:15.48
72.1, 530.9, 1095404, 835372, 480, 45.2, 44.7, 0:17.08
79.2, 476.4, 1173416, 832316, 1012, 43.8, 44.5, 0:18.65
63.4, 429.2, 1194668, 828756, 1012, 43.8, 44.3, 0:19.07
74.7, 389.4, 1214996, 830288, 1012, 50.0, 44.4, 0:19.48
67.8, 334.4, 1238756, 827948, 1008, 56.2, 44.3, 0:19.96
75.4, 309.1, 1260800, 830456, 1008, 43.8, 44.4, 0:20.39
72.8, 258.6, 1282844, 830216, 1008, 47.1, 44.4, 0:20.82
70.8, 212.8, 1304492, 831716, 1008, 55.6, 44.5, 0:21.25
86.9, 154.1, 1326272, 832420, 1008, 43.8, 44.5, 0:21.68
78.6, 114.6, 1357688, 830704, 1008, 42.9, 44.4, 0:22.30
71.1, 58.8, 1380656, 834572, 1008, 41.2, 44.6, 0:22.76
74.9, 15.5, 1402700, 828612, 1008, 35.3, 44.3, 0:23.20
69.4, 366.2, 1423688, 828040, 1008, 33.3, 44.3, 0:23.61
750.0, 366.4, , , , , ,
713.7, 366.4, , , , , ,
675.5, 366.4, , , , , ,
636.3, 366.4, , , , , ,
596.8, 366.4, , , , , ,
560.1, 366.4, , , , , ,
524.4, 366.4, , , , , ,
486.1, 366.4, , , , , ,
451.8, 366.5, , , , , ,
414.2, 366.5, , , , , ,
375.6, 366.5, , , , , ,
338.5, 366.6, , , , , ,
302.4, 366.6, , , , , ,
265.3, 366.6, , , , , ,
229.5, 366.6, , , , , ,
192.2, 366.6, , , , , ,
155.4, 366.6, , , , , ,
119.2, 366.6, , , , , ,
82.6, 366.6, , , , , ,
70.2, 279.2, , , , , ,
77.8, 196.4, , , , , ,
62.6, 158.4, , , , , ,
70.1, 128.1, , , , , ,
75.3, 92.5, , , , , ,
75.0, 51.9, , , , , ,
71.3, 11.5, , , , , ,
70.1, 731.3, , , , , ,
1674.0, 731.3, , , , , ,
1673.3, 731.3, , , , , ,
1673.7, 731.3, , , , , ,
1672.9, 731.3, , , , , ,
1665.7, 732.3, , , , , ,
1665.4, 732.3, , , , , ,
1665.8, 732.3, , , , , ,
1665.8, 732.3, , , , , ,
